"Wording","Perception"
"goodyear","positive"
"goodyear","negative"
"badyear","positive"
"goodyear","positive"
"goodyear","negative"
"badyear","positive"
"goodyear","positive"
"goodyear","positive"
"goodyear","positive"
"badyear","negative"
"goodyear","negative"
"badyear","negative"
"goodyear","positive"
"badyear","negative"
"goodyear","positive"
"goodyear","positive"
"badyear","positive"
"goodyear","positive"
"goodyear","positive"
"goodyear","positive"
"badyear","negative"
"goodyear","positive"
"badyear","negative"
"goodyear","positive"
"badyear","negative"
"goodyear","positive"
"badyear","negative"
"goodyear","positive"
"badyear","positive"
"badyear","negative"
